person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_burden,emp_stability,loan_status,pd,risk_bucket,approved,risk_order
24,57996,MORTGAGE,5.0,HOMEIMPROVEMENT,B,2400,11.89,0.04,N,4,0.04138216428719222,0.2083333333333333,0,0.14652672861270466,A - Lowest Risk,True,1
30,70000,RENT,6.0,PERSONAL,B,5000,11.71,0.07,N,5,0.07142857142857142,0.2,0,0.23367260666885054,B - Low Risk,True,2
32,106000,MORTGAGE,3.0,MEDICAL,A,10000,,0.09,N,7,0.09433962264150944,0.09375,0,0.20325428391881542,B - Low Risk,True,2
25,53000,OWN,4.0,HOMEIMPROVEMENT,B,7200,9.91,0.14,N,3,0.13584905660377358,0.16,0,0.12169802072353583,A - Lowest Risk,True,1
32,53000,MORTGAGE,1.0,EDUCATION,C,6800,12.84,0.13,Y,7,0.12830188679245283,0.03125,0,0.3924257819881963,C - Medium Risk,True,3
27,93000,RENT,1.0,MEDICAL,A,8000,,0.09,N,7,0.08602150537634409,0.037037037037037,0,0.3854072740637237,C - Medium Risk,True,3
25,95000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,15000,11.49,0.16,N,3,0.15789473684210525,0.0,0,0.35038113644569846,C - Medium Risk,True,3
32,55000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,6500,13.98,0.12,N,10,0.11818181818181818,0.125,0,0.26197058338370127,B - Low Risk,True,2
23,75638,RENT,2.0,PERSONAL,A,8000,5.99,0.11,N,4,0.10576694254210846,0.0869565217391304,0,0.3226046775871928,C - Medium Risk,True,3
24,98400,MORTGAGE,0.0,EDUCATION,C,8000,12.68,0.08,N,2,0.08130081300813008,0.0,0,0.12413091741195958,A - Lowest Risk,True,1
41,381450,MORTGAGE,10.0,MEDICAL,C,35000,13.49,0.09,Y,14,0.09175514484205007,0.2439024390243902,0,0.3776706430524093,C - Medium Risk,True,3
33,24996,MORTGAGE,3.0,PERSONAL,C,6600,12.99,0.26,Y,6,0.2640422467594815,0.0909090909090909,0,0.6960828670502234,E - Highest Risk,False,5
29,120000,MORTGAGE,3.0,EDUCATION,B,20000,11.71,0.17,N,5,0.16666666666666666,0.1034482758620689,0,0.21089020448794185,B - Low Risk,True,2
22,95000,MORTGAGE,0.0,MEDICAL,A,6875,6.54,0.07,N,2,0.07236842105263158,0.0,0,0.18825862998015302,B - Low Risk,True,2
22,19800,OWN,1.0,EDUCATION,A,2100,8.38,0.11,N,4,0.10606060606060606,0.0454545454545454,0,0.05549502333302657,A - Lowest Risk,True,1
23,70000,MORTGAGE,5.0,MEDICAL,C,10000,14.79,0.14,Y,2,0.14285714285714285,0.217391304347826,0,0.5209549984316726,D - High Risk,False,4
27,40000,RENT,0.0,VENTURE,B,8000,10.25,0.2,N,10,0.2,0.0,0,0.4454682889327503,C - Medium Risk,True,3
23,150000,MORTGAGE,5.0,VENTURE,A,10000,7.14,0.07,N,4,0.06666666666666667,0.217391304347826,0,0.07716871002061693,A - Lowest Risk,True,1
23,25000,RENT,1.0,VENTURE,B,4025,9.91,0.16,N,4,0.161,0.0434782608695652,0,0.3500080180581122,C - Medium Risk,True,3
28,115000,MORTGAGE,2.0,PERSONAL,B,18000,10.59,0.16,N,10,0.1565217391304348,0.0714285714285714,0,0.2362802862166263,B - Low Risk,True,2
26,40000,RENT,0.0,VENTURE,C,1800,13.23,0.04,Y,3,0.045,0.0,0,0.38753671813284224,C - Medium Risk,True,3
22,28800,OWN,2.0,EDUCATION,D,10000,16.49,0.35,Y,2,0.3472222222222222,0.0909090909090909,0,0.5816719376816052,D - High Risk,False,4
24,40000,RENT,1.0,EDUCATION,C,15000,12.87,0.38,Y,3,0.375,0.0416666666666666,1,0.928947527453051,E - Highest Risk,False,5
28,95000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,23450,7.9,0.25,N,5,0.2468421052631579,0.1785714285714285,0,0.49173690436160733,D - High Risk,False,4
29,53000,RENT,0.0,HOMEIMPROVEMENT,A,5000,5.42,0.09,N,6,0.09433962264150944,0.0,0,0.44764422676812016,C - Medium Risk,True,3
32,55000,MORTGAGE,14.0,HOMEIMPROVEMENT,B,16000,10.59,0.29,N,7,0.2909090909090909,0.4375,1,0.5147941912833189,D - High Risk,False,4
28,85000,MORTGAGE,1.0,MEDICAL,A,5000,6.92,0.06,N,8,0.058823529411764705,0.0357142857142857,0,0.16913269275767848,A - Lowest Risk,True,1
24,27600,MORTGAGE,1.0,PERSONAL,C,2000,14.27,0.07,Y,2,0.07246376811594203,0.0416666666666666,0,0.3175316655440153,C - Medium Risk,True,3
30,49000,RENT,2.0,PERSONAL,D,5000,15.31,0.1,N,7,0.10204081632653061,0.0666666666666666,1,0.3183111648504957,C - Medium Risk,True,3
37,25000,OWN,2.0,VENTURE,B,5000,9.91,0.2,N,11,0.2,0.054054054054054,0,0.095327753867965,A - Lowest Risk,True,1
34,285000,RENT,5.0,EDUCATION,B,21000,11.71,0.07,N,10,0.07368421052631578,0.1470588235294117,0,0.21688670130525003,B - Low Risk,True,2
36,28000,MORTGAGE,1.0,VENTURE,D,3075,15.62,0.11,Y,12,0.10982142857142857,0.0277777777777777,1,0.31141336257975266,C - Medium Risk,True,3
22,70000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,10000,10.36,0.14,N,2,0.14285714285714285,0.1363636363636363,0,0.2959820719335787,B - Low Risk,True,2
25,159996,RENT,4.0,PERSONAL,D,5000,14.11,0.03,Y,4,0.031250781269531736,0.16,0,0.4174247739582289,C - Medium Risk,True,3
22,22596,RENT,4.0,MEDICAL,B,7500,9.76,0.33,N,4,0.33191715347849177,0.1818181818181818,1,0.8218165156972619,E - Highest Risk,False,5
23,55000,OWN,5.0,EDUCATION,B,11000,10.38,0.2,N,3,0.2,0.217391304347826,0,0.10146733614662812,A - Lowest Risk,True,1
57,77385,RENT,4.0,VENTURE,A,6625,7.66,0.09,N,29,0.0856109065064289,0.0701754385964912,0,0.21733454848061062,B - Low Risk,True,2
33,41277,RENT,3.0,EDUCATION,B,3000,10.0,0.07,N,8,0.0726797005596337,0.0909090909090909,1,0.22721506917662446,B - Low Risk,True,2
21,28000,RENT,2.0,EDUCATION,C,4000,15.23,0.14,N,2,0.14285714285714285,0.0952380952380952,0,0.35326072389799335,C - Medium Risk,True,3
37,85000,RENT,5.0,DEBTCONSOLIDATION,A,35000,8.9,0.41,N,17,0.4117647058823529,0.1351351351351351,1,0.911742834219851,E - Highest Risk,False,5
23,39000,MORTGAGE,0.0,MEDICAL,D,8000,14.11,0.21,N,3,0.20512820512820512,0.0,1,0.42286754965756784,C - Medium Risk,True,3
29,55000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,5000,,0.09,N,8,0.09090909090909091,0.3103448275862069,0,0.1867222378854736,A - Lowest Risk,True,1
22,25000,RENT,1.0,VENTURE,B,2050,10.59,0.08,N,2,0.082,0.0454545454545454,0,0.21259321654591562,B - Low Risk,True,2
24,25632,MORTGAGE,4.0,EDUCATION,B,1500,9.91,0.06,N,3,0.05852059925093633,0.1666666666666666,0,0.09112694620037277,A - Lowest Risk,True,1
21,35000,RENT,3.0,DEBTCONSOLIDATION,C,3500,12.53,0.1,Y,4,0.1,0.1428571428571428,0,0.6888691680295982,E - Highest Risk,False,5
23,20400,RENT,3.0,PERSONAL,C,3125,12.61,0.15,N,3,0.15318627450980393,0.1304347826086956,0,0.407342211164903,C - Medium Risk,True,3
34,105000,RENT,0.0,PERSONAL,A,8000,8.38,0.08,N,8,0.0761904761904762,0.0,0,0.28826981814990565,B - Low Risk,True,2
35,34000,RENT,15.0,HOMEIMPROVEMENT,B,3200,9.99,0.09,N,7,0.09411764705882353,0.4285714285714285,1,0.31351014358034696,C - Medium Risk,True,3
27,70000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,15000,7.49,0.21,N,8,0.21428571428571427,0.1851851851851851,0,0.4251462970356823,C - Medium Risk,True,3
24,50000,RENT,2.0,VENTURE,B,15000,11.36,0.3,N,2,0.3,0.0833333333333333,0,0.6305050013376203,D - High Risk,False,4
22,28500,MORTGAGE,1.0,DEBTCONSOLIDATION,A,8500,7.68,0.3,N,4,0.2982456140350877,0.0454545454545454,0,0.636484951084117,D - High Risk,False,4
32,80000,RENT,4.0,HOMEIMPROVEMENT,A,14000,5.42,0.17,N,9,0.175,0.125,0,0.5854303651292988,D - High Risk,False,4
32,45000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,5000,5.79,0.11,N,5,0.1111111111111111,0.09375,0,0.24450536476121493,B - Low Risk,True,2
26,39000,RENT,2.0,DEBTCONSOLIDATION,A,8000,6.62,0.21,N,2,0.20512820512820512,0.0769230769230769,0,0.6465638163026943,D - High Risk,False,4
21,48000,RENT,1.0,DEBTCONSOLIDATION,A,10000,5.79,0.21,N,2,0.20833333333333334,0.0476190476190476,0,0.6615093465603695,D - High Risk,False,4
24,110000,MORTGAGE,5.0,VENTURE,B,15000,10.25,0.14,N,4,0.13636363636363635,0.2083333333333333,0,0.1324218037556757,A - Lowest Risk,True,1
25,57500,MORTGAGE,5.0,MEDICAL,C,12275,,0.21,Y,3,0.21347826086956523,0.2,0,0.6676860898141013,E - Highest Risk,False,5
29,35000,RENT,3.0,MEDICAL,B,7000,8.88,0.2,N,5,0.2,0.1034482758620689,0,0.606426355570543,D - High Risk,False,4
24,100000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,5000,9.62,0.05,N,4,0.05,0.0833333333333333,0,0.16499650139514754,A - Lowest Risk,True,1
27,31200,RENT,3.0,EDUCATION,C,10000,13.99,0.32,N,10,0.32051282051282054,0.1111111111111111,1,0.7158365494542772,E - Highest Risk,False,5
37,80000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,10000,9.99,0.13,N,13,0.125,0.1351351351351351,0,0.25888196459360036,B - Low Risk,True,2
23,50000,RENT,1.0,MEDICAL,A,4000,5.42,0.08,N,2,0.08,0.0434782608695652,0,0.36832655598024977,C - Medium Risk,True,3
37,60000,MORTGAGE,4.0,EDUCATION,C,12000,12.73,0.2,Y,17,0.2,0.1081081081081081,0,0.5270338380940983,D - High Risk,False,4
37,38200,RENT,0.0,VENTURE,A,12000,8.94,0.31,N,14,0.31413612565445026,0.0,1,0.6863301552290616,E - Highest Risk,False,5
24,24000,RENT,0.0,MEDICAL,C,5600,12.73,0.23,N,4,0.23333333333333334,0.0,0,0.6965900731795744,E - Highest Risk,False,5
23,29004,OWN,1.0,VENTURE,C,2000,13.16,0.07,N,3,0.06895600606812853,0.0434782608695652,0,0.03303923845542294,A - Lowest Risk,True,1
30,30000,RENT,0.0,VENTURE,D,7750,13.87,0.26,Y,9,0.25833333333333336,0.0,1,0.8036197494390581,E - Highest Risk,False,5
22,32760,OWN,2.0,VENTURE,C,7000,11.78,0.21,Y,4,0.21367521367521367,0.0909090909090909,0,0.2625706814756295,B - Low Risk,True,2
36,45000,RENT,12.0,MEDICAL,D,10000,15.99,0.22,N,14,0.2222222222222222,0.3333333333333333,0,0.578362282345905,D - High Risk,False,4
23,66000,RENT,2.0,VENTURE,A,12000,,0.18,N,4,0.18181818181818182,0.0869565217391304,0,0.3828062855885471,C - Medium Risk,True,3
30,64800,MORTGAGE,7.0,EDUCATION,B,5600,10.99,0.09,N,8,0.08641975308641975,0.2333333333333333,0,0.10400603832623148,A - Lowest Risk,True,1
29,190000,MORTGAGE,5.0,PERSONAL,A,4000,6.62,0.02,N,5,0.021052631578947368,0.1724137931034483,0,0.07736561374354502,A - Lowest Risk,True,1
30,200000,MORTGAGE,0.0,MEDICAL,B,24250,11.48,0.12,N,8,0.12125,0.0,0,0.2661134565316824,B - Low Risk,True,2
29,94000,MORTGAGE,9.0,PERSONAL,A,10000,7.51,0.11,N,7,0.10638297872340426,0.3103448275862069,0,0.13156141708698296,A - Lowest Risk,True,1
31,102000,RENT,11.0,MEDICAL,B,18000,10.0,0.18,N,10,0.17647058823529413,0.3548387096774194,0,0.4857120292149416,D - High Risk,False,4
21,24960,RENT,0.0,EDUCATION,C,1000,13.98,0.04,N,4,0.04006410256410257,0.0,0,0.19668556526658387,B - Low Risk,True,2
25,69000,RENT,3.0,HOMEIMPROVEMENT,D,10000,14.09,0.14,Y,2,0.14492753623188406,0.12,1,0.7726600673788288,E - Highest Risk,False,5
32,36000,RENT,4.0,MEDICAL,D,6000,16.07,0.17,Y,10,0.16666666666666666,0.125,1,0.7782486057337694,E - Highest Risk,False,5
22,41000,MORTGAGE,4.0,VENTURE,A,6000,8.59,0.15,N,4,0.14634146341463414,0.1818181818181818,0,0.14739484114795173,A - Lowest Risk,True,1
29,55400,RENT,2.0,HOMEIMPROVEMENT,C,7000,10.28,0.13,Y,6,0.1263537906137184,0.0689655172413793,0,0.7536222046644893,E - Highest Risk,False,5
32,35000,MORTGAGE,9.0,VENTURE,A,12000,9.63,0.34,N,8,0.34285714285714286,0.28125,0,0.4417991492433172,C - Medium Risk,True,3
37,144000,MORTGAGE,15.0,EDUCATION,C,10000,14.17,0.07,Y,14,0.06944444444444445,0.4054054054054054,0,0.18944243053564186,B - Low Risk,True,2
41,100000,MORTGAGE,10.0,EDUCATION,A,6000,8.49,0.06,N,15,0.06,0.2439024390243902,0,0.07815482745378392,A - Lowest Risk,True,1
27,39996,OWN,1.0,HOMEIMPROVEMENT,B,8000,12.53,0.2,N,5,0.2000200020002,0.037037037037037,0,0.21434078734550316,B - Low Risk,True,2
31,70000,MORTGAGE,9.0,MEDICAL,A,6000,7.49,0.09,N,7,0.08571428571428572,0.2903225806451613,0,0.15830872378368338,A - Lowest Risk,True,1
26,37000,MORTGAGE,7.0,EDUCATION,B,8400,10.99,0.23,N,4,0.22702702702702704,0.2692307692307692,0,0.2776525255341496,B - Low Risk,True,2
29,120000,MORTGAGE,11.0,VENTURE,B,16000,12.42,0.13,N,9,0.13333333333333333,0.3793103448275862,0,0.10760513315206213,A - Lowest Risk,True,1
33,77100,RENT,6.0,DEBTCONSOLIDATION,A,35000,8.49,0.45,N,9,0.45395590142671854,0.1818181818181818,1,0.932627616769299,E - Highest Risk,False,5
27,15600,RENT,1.0,HOMEIMPROVEMENT,D,2250,18.25,0.14,N,6,0.14423076923076922,0.037037037037037,1,0.5454150468803857,D - High Risk,False,4
49,86400,RENT,0.0,MEDICAL,C,4000,,0.05,N,17,0.046296296296296294,0.0,0,0.32525308075921716,C - Medium Risk,True,3
36,42000,OWN,2.0,MEDICAL,C,2000,15.62,0.05,Y,13,0.047619047619047616,0.0555555555555555,0,0.16222972483754347,A - Lowest Risk,True,1
34,40000,RENT,2.0,VENTURE,B,5000,12.53,0.13,N,10,0.125,0.0588235294117647,0,0.28023526788526654,B - Low Risk,True,2
27,84000,MORTGAGE,2.0,PERSONAL,B,7000,12.69,0.08,N,10,0.08333333333333333,0.074074074074074,0,0.14123562831940592,A - Lowest Risk,True,1
28,54000,RENT,5.0,DEBTCONSOLIDATION,C,8000,15.23,0.15,N,9,0.14814814814814814,0.1785714285714285,0,0.5064799732656329,D - High Risk,False,4
29,40000,RENT,7.0,PERSONAL,A,11450,8.49,0.29,N,5,0.28625,0.2413793103448276,0,0.6521758477821376,D - High Risk,False,4
28,40000,RENT,2.0,MEDICAL,C,7500,,0.19,N,7,0.1875,0.0714285714285714,0,0.5917207859638279,D - High Risk,False,4
28,54000,MORTGAGE,3.0,VENTURE,B,10000,9.99,0.19,N,9,0.18518518518518517,0.1071428571428571,0,0.20413046122037518,B - Low Risk,True,2
23,100000,MORTGAGE,2.0,VENTURE,A,14000,6.17,0.14,N,3,0.14,0.0869565217391304,0,0.14965503107983913,A - Lowest Risk,True,1
22,62654,MORTGAGE,4.0,HOMEIMPROVEMENT,D,6000,14.74,0.1,N,4,0.09576403741181728,0.1818181818181818,1,0.22197295335007003,B - Low Risk,True,2
26,46000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,11000,12.69,0.24,N,2,0.2391304347826087,0.1153846153846153,0,0.5034133184944123,D - High Risk,False,4
26,44004,RENT,2.0,MEDICAL,A,4500,7.74,0.1,N,3,0.10226343059721843,0.0769230769230769,0,0.4057835931949142,C - Medium Risk,True,3
36,25000,MORTGAGE,0.0,MEDICAL,B,3000,8.7,0.12,N,14,0.12,0.0,0,0.2688791628711505,B - Low Risk,True,2
25,54000,MORTGAGE,2.0,PERSONAL,B,4000,11.11,0.07,N,3,0.07407407407407407,0.08,0,0.12852492700712212,A - Lowest Risk,True,1
26,137000,MORTGAGE,3.0,EDUCATION,A,21500,6.62,0.16,N,4,0.15693430656934307,0.1153846153846153,0,0.19659000909539714,B - Low Risk,True,2
27,27996,RENT,0.0,PERSONAL,B,12250,11.26,0.44,N,7,0.4375625089298471,0.0,1,0.9013224323026845,E - Highest Risk,False,5
22,49000,MORTGAGE,4.0,EDUCATION,B,8000,10.25,0.16,N,4,0.16326530612244897,0.1818181818181818,1,0.19917288359722757,B - Low Risk,True,2
25,78000,RENT,0.0,PERSONAL,D,12000,14.09,0.15,Y,3,0.15384615384615385,0.0,1,0.7056784734628617,E - Highest Risk,False,5
22,42000,RENT,3.0,EDUCATION,B,8500,12.53,0.2,N,4,0.20238095238095238,0.1363636363636363,0,0.4698083576886388,D - High Risk,False,4
27,69830,OWN,3.0,EDUCATION,E,15000,16.45,0.21,Y,5,0.21480738937419447,0.1111111111111111,0,0.30163684252725803,B - Low Risk,True,2
23,36000,RENT,0.0,EDUCATION,A,8000,7.51,0.22,N,2,0.2222222222222222,0.0,0,0.5392308634567016,D - High Risk,False,4
24,69000,RENT,2.0,DEBTCONSOLIDATION,D,4800,15.21,0.07,N,4,0.06956521739130435,0.0833333333333333,1,0.3639798676192294,C - Medium Risk,True,3
25,30000,MORTGAGE,5.0,EDUCATION,B,3600,12.42,0.12,N,4,0.12,0.2,0,0.14143817648315973,A - Lowest Risk,True,1
23,100000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,20000,11.36,0.2,N,3,0.2,0.217391304347826,0,0.39036553942218005,C - Medium Risk,True,3
26,27000,RENT,0.0,EDUCATION,C,2500,13.61,0.09,N,4,0.09259259259259259,0.0,0,0.2781559010656991,B - Low Risk,True,2
21,40000,MORTGAGE,3.0,MEDICAL,A,2500,6.76,0.06,N,4,0.0625,0.1428571428571428,0,0.1606468104381465,A - Lowest Risk,True,1
24,52000,MORTGAGE,3.0,VENTURE,A,3500,6.76,0.07,N,3,0.0673076923076923,0.125,0,0.08292172721275694,A - Lowest Risk,True,1
24,112000,OTHER,4.0,PERSONAL,A,9000,9.32,0.08,N,2,0.08035714285714286,0.1666666666666666,0,0.205185120128673,B - Low Risk,True,2
29,57500,MORTGAGE,7.0,PERSONAL,A,19600,7.88,0.34,N,8,0.3408695652173913,0.2413793103448276,0,0.5543286554230721,D - High Risk,False,4
24,50000,RENT,3.0,PERSONAL,A,10000,7.49,0.2,N,2,0.2,0.125,0,0.5062642968768125,D - High Risk,False,4
25,78600,RENT,0.0,MEDICAL,C,8400,13.48,0.11,N,4,0.10687022900763359,0.0,0,0.4351853781915372,C - Medium Risk,True,3
24,60000,RENT,3.0,DEBTCONSOLIDATION,A,3200,7.14,0.05,N,3,0.05333333333333334,0.125,0,0.32282706157180363,C - Medium Risk,True,3
24,67000,RENT,5.0,PERSONAL,C,20000,13.48,0.3,Y,3,0.29850746268656714,0.2083333333333333,0,0.8734162346640175,E - Highest Risk,False,5
30,108000,RENT,1.0,PERSONAL,D,8000,14.96,0.07,Y,7,0.07407407407407407,0.0333333333333333,1,0.5409036168192811,D - High Risk,False,4
41,28000,OWN,9.0,EDUCATION,A,2000,7.74,0.07,N,16,0.07142857142857142,0.2195121951219512,0,0.03258901900779799,A - Lowest Risk,True,1
26,69846,RENT,2.0,EDUCATION,F,22500,18.99,0.32,N,4,0.32213727343011767,0.0769230769230769,1,0.7213980203510173,E - Highest Risk,False,5
29,78200,RENT,5.0,MEDICAL,B,23500,11.36,0.3,N,8,0.30051150895140666,0.1724137931034483,0,0.7748279219364665,E - Highest Risk,False,5
23,50000,MORTGAGE,5.0,VENTURE,A,3600,5.99,0.07,N,2,0.072,0.217391304347826,0,0.07989984535003188,A - Lowest Risk,True,1
46,60070,RENT,2.0,PERSONAL,C,5500,14.22,0.09,Y,17,0.0915598468453471,0.0434782608695652,0,0.5788543097201304,D - High Risk,False,4
28,30000,RENT,2.0,MEDICAL,B,7700,12.42,0.26,N,8,0.25666666666666665,0.0714285714285714,0,0.7255966848120203,E - Highest Risk,False,5
34,90000,RENT,4.0,VENTURE,C,3000,13.99,0.03,Y,9,0.03333333333333333,0.1176470588235294,0,0.33469095059378423,C - Medium Risk,True,3
33,44500,OWN,6.0,EDUCATION,B,20000,,0.45,N,6,0.449438202247191,0.1818181818181818,0,0.48665368917479096,D - High Risk,False,4
40,167000,RENT,2.0,VENTURE,B,22000,10.99,0.13,N,13,0.1317365269461078,0.05,0,0.29469683720692463,B - Low Risk,True,2
23,54400,RENT,2.0,MEDICAL,D,5000,16.49,0.08,N,4,0.09191176470588236,0.0869565217391304,1,0.3854106272380913,C - Medium Risk,True,3
30,60000,MORTGAGE,10.0,PERSONAL,B,16000,11.71,0.27,N,8,0.26666666666666666,0.3333333333333333,0,0.3687400448958551,C - Medium Risk,True,3
25,82000,RENT,0.0,PERSONAL,B,6000,9.91,0.07,N,2,0.07317073170731707,0.0,0,0.2779244507061763,B - Low Risk,True,2
24,38400,RENT,4.0,DEBTCONSOLIDATION,A,4000,7.29,0.1,N,3,0.10416666666666667,0.1666666666666666,0,0.41573184648099604,C - Medium Risk,True,3
