person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_burden,emp_stability
25,60000,MORTGAGE,1.0,EDUCATION,A,4000,,0.07,N,4,0.06666666666666667,0.04
22,111000,RENT,1.0,VENTURE,B,15000,10.62,0.14,N,3,0.13513513513513514,0.045454545454545456
31,59000,RENT,2.0,HOMEIMPROVEMENT,C,8750,12.68,0.15,N,9,0.1483050847457627,0.06451612903225806
28,55000,RENT,1.0,MEDICAL,A,10000,9.32,0.18,N,8,0.18181818181818182,0.03571428571428571
27,63000,OTHER,2.0,DEBTCONSOLIDATION,A,4500,9.63,0.07,N,8,0.07142857142857142,0.07407407407407407
30,70000,MORTGAGE,4.0,HOMEIMPROVEMENT,D,10000,16.89,0.14,Y,5,0.14285714285714285,0.13333333333333333
24,108000,MORTGAGE,3.0,EDUCATION,A,9050,5.42,0.08,N,2,0.0837962962962963,0.125
35,59000,RENT,5.0,PERSONAL,C,10000,13.49,0.17,Y,10,0.1694915254237288,0.14285714285714285
34,84000,RENT,3.0,EDUCATION,A,9000,5.79,0.11,N,10,0.10714285714285714,0.08823529411764706
42,42000,RENT,2.0,PERSONAL,C,4200,13.35,0.1,N,17,0.1,0.047619047619047616
23,105000,MORTGAGE,3.0,MEDICAL,B,20000,11.48,0.19,N,2,0.19047619047619047,0.13043478260869565
22,36000,MORTGAGE,3.0,MEDICAL,B,6000,12.53,0.17,N,2,0.16666666666666666,0.13636363636363635
32,60000,MORTGAGE,11.0,PERSONAL,C,7500,11.03,0.13,Y,10,0.125,0.34375
25,63000,MORTGAGE,3.0,EDUCATION,C,3000,13.47,0.05,N,2,0.047619047619047616,0.12
26,130000,MORTGAGE,8.0,PERSONAL,A,10000,6.03,0.08,N,2,0.07692307692307693,0.3076923076923077
31,70000,RENT,0.0,VENTURE,B,9000,10.0,0.13,N,5,0.12857142857142856,0.0
27,85000,RENT,1.0,DEBTCONSOLIDATION,A,7525,,0.09,N,8,0.08852941176470588,0.037037037037037035
26,75000,RENT,5.0,PERSONAL,A,20000,6.91,0.27,N,2,0.26666666666666666,0.19230769230769232
26,81996,RENT,5.0,MEDICAL,A,10000,7.29,0.12,N,4,0.1219571686423728,0.19230769230769232
25,78600,RENT,0.0,DEBTCONSOLIDATION,C,8400,13.48,0.11,Y,3,0.10687022900763359,0.0
24,55000,MORTGAGE,2.0,VENTURE,A,6000,8.0,0.11,N,2,0.10909090909090909,0.08333333333333333
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,0.34,N,2,0.33783783783783783,0.13043478260869565
24,16000,RENT,2.0,HOMEIMPROVEMENT,C,2600,,0.16,Y,2,0.1625,0.08333333333333333
23,52250,MORTGAGE,2.0,VENTURE,C,4750,13.35,0.09,Y,4,0.09090909090909091,0.08695652173913043
24,60000,RENT,2.0,MEDICAL,C,5000,13.99,0.08,Y,2,0.08333333333333333,0.08333333333333333
36,35000,RENT,1.0,VENTURE,B,10000,,0.29,N,15,0.2857142857142857,0.027777777777777776
46,44782,MORTGAGE,14.0,PERSONAL,D,6000,13.67,0.13,Y,12,0.13398240364432137,0.30434782608695654
23,50000,RENT,5.0,EDUCATION,B,10000,9.63,0.2,N,3,0.2,0.21739130434782608
34,20400,MORTGAGE,6.0,MEDICAL,C,3300,13.06,0.16,Y,10,0.16176470588235295,0.17647058823529413
32,65000,OWN,3.0,PERSONAL,C,12000,13.35,0.18,Y,9,0.18461538461538463,0.09375
26,66000,MORTGAGE,5.0,MEDICAL,B,15000,9.88,0.23,N,4,0.22727272727272727,0.19230769230769232
42,35004,RENT,12.0,MEDICAL,A,1500,7.37,0.04,N,12,0.04285224545766198,0.2857142857142857
33,21996,RENT,0.0,VENTURE,C,9250,12.87,0.42,Y,8,0.4205310056373886,0.0
23,27000,RENT,5.0,MEDICAL,B,10000,,0.37,N,2,0.37037037037037035,0.21739130434782608
29,125000,MORTGAGE,2.0,MEDICAL,C,3500,13.98,0.03,N,8,0.028,0.06896551724137931
27,56004,MORTGAGE,5.0,HOMEIMPROVEMENT,A,5000,7.74,0.09,N,7,0.0892793371902007,0.18518518518518517
24,112500,MORTGAGE,3.0,DEBTCONSOLIDATION,C,8600,13.11,0.08,N,4,0.07644444444444444,0.125
42,85000,RENT,3.0,VENTURE,C,5750,12.99,0.07,Y,15,0.06764705882352941,0.07142857142857142
30,73008,RENT,5.0,VENTURE,B,8000,9.99,0.11,N,7,0.10957703265395573,0.16666666666666666
26,80040,MORTGAGE,6.0,PERSONAL,A,10000,,0.12,N,2,0.12493753123438281,0.23076923076923078
30,60000,RENT,1.0,DEBTCONSOLIDATION,B,5000,,0.08,N,7,0.08333333333333333,0.03333333333333333
25,25200,OWN,5.0,HOMEIMPROVEMENT,D,1200,15.99,0.05,Y,3,0.047619047619047616,0.2
25,61200,MORTGAGE,1.0,PERSONAL,A,5650,7.66,0.09,N,2,0.0923202614379085,0.04
46,17496,RENT,6.0,HOMEIMPROVEMENT,B,1500,11.14,0.09,N,13,0.08573388203017833,0.13043478260869565
24,27311,RENT,1.0,MEDICAL,C,6250,12.87,0.23,Y,4,0.22884552012009812,0.041666666666666664
36,20000,RENT,0.0,PERSONAL,B,5075,11.48,0.25,N,11,0.25375,0.0
32,108000,MORTGAGE,5.0,VENTURE,B,12000,11.49,0.11,N,10,0.1111111111111111,0.15625
30,65136,MORTGAGE,0.0,PERSONAL,C,6250,12.87,0.1,Y,9,0.09595308278064357,0.0
22,70500,RENT,1.0,VENTURE,B,5000,11.14,0.07,N,4,0.07092198581560284,0.045454545454545456
43,72000,RENT,11.0,EDUCATION,B,22000,10.62,0.31,N,11,0.3055555555555556,0.2558139534883721
31,100000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,13000,12.61,0.13,N,7,0.13,0.1935483870967742
25,75600,MORTGAGE,2.0,PERSONAL,A,14500,9.63,0.19,N,4,0.1917989417989418,0.08
40,39500,OWN,0.0,PERSONAL,A,10000,7.29,0.25,N,11,0.25316455696202533,0.0
28,29000,RENT,6.0,EDUCATION,C,13000,14.26,0.45,Y,8,0.4482758620689655,0.21428571428571427
37,30480,OWN,1.0,MEDICAL,B,1200,11.99,0.04,N,15,0.03937007874015748,0.02702702702702703
25,111262,MORTGAGE,2.0,PERSONAL,B,20000,12.53,0.18,N,3,0.1797558914993439,0.08
31,44000,MORTGAGE,0.0,EDUCATION,C,12000,12.53,0.27,Y,6,0.2727272727272727,0.0
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,0.38,N,4,0.375,0.13043478260869565
22,35000,RENT,2.0,PERSONAL,B,12000,,0.34,N,2,0.34285714285714286,0.09090909090909091
24,105000,RENT,2.0,HOMEIMPROVEMENT,A,13800,7.66,0.13,N,3,0.13142857142857142,0.08333333333333333
22,95000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,7200,11.49,0.08,N,2,0.07578947368421053,0.13636363636363635
38,81000,RENT,0.0,HOMEIMPROVEMENT,A,24000,8.49,0.3,N,13,0.2962962962962963,0.0
23,65000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,16500,7.49,0.25,N,4,0.25384615384615383,0.21739130434782608
23,70000,RENT,2.0,PERSONAL,C,4800,,0.07,N,2,0.06857142857142857,0.08695652173913043
34,100000,MORTGAGE,7.0,EDUCATION,A,12000,7.49,0.12,N,6,0.12,0.20588235294117646
26,70800,MORTGAGE,6.0,EDUCATION,A,8500,6.54,0.12,N,3,0.12005649717514125,0.23076923076923078
26,29000,RENT,0.0,HOMEIMPROVEMENT,D,3400,15.62,0.12,Y,4,0.11724137931034483,0.0
22,25000,OWN,1.0,VENTURE,B,6000,11.89,0.24,N,2,0.24,0.045454545454545456
26,145992,MORTGAGE,0.0,PERSONAL,D,20000,,0.14,Y,2,0.13699380787988383,0.0
30,102540,MORTGAGE,6.0,HOMEIMPROVEMENT,A,1500,7.9,0.01,N,5,0.014628437682855471,0.2
33,65000,RENT,4.0,MEDICAL,B,10000,11.99,0.15,N,9,0.15384615384615385,0.12121212121212122
22,50000,MORTGAGE,4.0,PERSONAL,B,7000,9.25,0.14,N,3,0.14,0.18181818181818182
22,50000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,5150,8.88,0.1,N,2,0.103,0.18181818181818182
34,18000,RENT,4.0,MEDICAL,C,2400,14.79,0.13,N,10,0.13333333333333333,0.11764705882352941
23,75000,RENT,4.0,EDUCATION,B,7500,11.83,0.1,N,2,0.1,0.17391304347826086
27,36000,RENT,3.0,PERSONAL,E,10000,17.19,0.28,Y,7,0.2777777777777778,0.1111111111111111
39,41725,RENT,4.0,VENTURE,D,11500,14.09,0.28,Y,13,0.2756141402037148,0.10256410256410256
49,50000,MORTGAGE,8.0,PERSONAL,C,15850,14.26,0.32,N,17,0.317,0.16326530612244897
61,160000,RENT,3.0,PERSONAL,D,30000,,0.19,Y,27,0.1875,0.04918032786885246
25,59000,RENT,0.0,VENTURE,C,10000,14.17,0.17,N,3,0.1694915254237288,0.0
22,44000,RENT,2.0,VENTURE,D,10000,15.58,0.23,N,3,0.22727272727272727,0.09090909090909091
25,12000,RENT,0.0,EDUCATION,B,1000,10.65,0.08,N,2,0.08333333333333333,0.0
21,45000,MORTGAGE,3.0,MEDICAL,A,4500,7.14,0.1,N,2,0.1,0.14285714285714285
32,36000,RENT,5.0,DEBTCONSOLIDATION,D,1600,14.09,0.04,Y,9,0.044444444444444446,0.15625
29,27852,OWN,7.0,EDUCATION,A,11000,8.49,0.39,N,8,0.3949447077409163,0.2413793103448276
38,126000,MORTGAGE,3.0,EDUCATION,D,2400,,0.02,Y,14,0.01904761904761905,0.07894736842105263
22,105000,MORTGAGE,3.0,PERSONAL,C,16000,12.73,0.15,Y,4,0.1523809523809524,0.13636363636363635
26,30000,RENT,1.0,MEDICAL,B,8000,10.0,0.27,N,3,0.26666666666666666,0.038461538461538464
27,58000,RENT,3.0,MEDICAL,C,1400,15.27,0.02,Y,7,0.02413793103448276,0.1111111111111111
24,38000,RENT,5.0,DEBTCONSOLIDATION,A,5600,6.62,0.15,N,4,0.14736842105263157,0.20833333333333334
37,138000,MORTGAGE,19.0,EDUCATION,D,4000,15.62,0.03,N,12,0.028985507246376812,0.5135135135135135
22,36000,RENT,3.0,VENTURE,C,15000,13.85,0.42,N,3,0.4166666666666667,0.13636363636363635
22,85000,MORTGAGE,0.0,EDUCATION,C,20000,13.49,0.24,Y,2,0.23529411764705882,0.0
26,75000,MORTGAGE,2.0,EDUCATION,A,10000,7.88,0.13,N,3,0.13333333333333333,0.07692307692307693
21,34000,OTHER,3.0,VENTURE,E,9600,15.68,0.28,Y,2,0.2823529411764706,0.14285714285714285
22,100000,MORTGAGE,0.0,PERSONAL,C,15000,13.85,0.15,Y,3,0.15,0.0
24,24000,RENT,0.0,MEDICAL,B,5375,10.99,0.22,N,3,0.22395833333333334,0.0
34,30000,RENT,3.0,PERSONAL,A,9050,5.99,0.3,N,9,0.3016666666666667,0.08823529411764706
33,56000,RENT,2.0,EDUCATION,A,10000,7.74,0.18,N,5,0.17857142857142858,0.06060606060606061
42,51000,OWN,6.0,VENTURE,B,18000,9.91,0.35,N,13,0.35294117647058826,0.14285714285714285
24,54000,RENT,1.0,DEBTCONSOLIDATION,D,10000,14.11,0.19,N,4,0.18518518518518517,0.041666666666666664
45,125000,MORTGAGE,14.0,PERSONAL,B,10000,,0.08,N,12,0.08,0.3111111111111111
33,18720,OWN,0.0,DEBTCONSOLIDATION,C,3500,13.16,0.19,Y,6,0.18696581196581197,0.0
29,220000,OWN,1.0,PERSONAL,F,14725,19.41,0.07,N,6,0.06693181818181818,0.034482758620689655
26,110000,OWN,8.0,EDUCATION,B,17000,8.88,0.15,N,4,0.15454545454545454,0.3076923076923077
39,42000,OWN,5.0,PERSONAL,B,8000,10.38,0.19,N,17,0.19047619047619047,0.1282051282051282
57,62004,MORTGAGE,13.0,PERSONAL,C,2000,13.72,0.03,Y,24,0.032255983484936454,0.22807017543859648
27,50000,RENT,7.0,DEBTCONSOLIDATION,C,5000,13.61,0.1,Y,8,0.1,0.25925925925925924
41,21000,RENT,0.0,MEDICAL,B,3000,,0.14,N,15,0.14285714285714285,0.0
26,36000,RENT,3.0,DEBTCONSOLIDATION,D,7000,14.96,0.19,Y,4,0.19444444444444445,0.11538461538461539
40,70032,MORTGAGE,14.0,EDUCATION,B,14000,9.99,0.2,N,14,0.19990861320539183,0.35
26,42000,RENT,4.0,DEBTCONSOLIDATION,B,2250,10.38,0.05,N,4,0.05357142857142857,0.15384615384615385
29,225000,OWN,11.0,PERSONAL,B,24250,,0.11,N,7,0.10777777777777778,0.3793103448275862
22,50000,RENT,3.0,DEBTCONSOLIDATION,C,10000,13.99,0.2,Y,2,0.2,0.13636363636363635
34,85000,RENT,7.0,VENTURE,B,5000,11.83,0.06,N,5,0.058823529411764705,0.20588235294117646
27,40000,RENT,4.0,DEBTCONSOLIDATION,B,4800,11.71,0.12,N,8,0.12,0.14814814814814814
32,37500,RENT,6.0,MEDICAL,A,5000,6.03,0.13,N,9,0.13333333333333333,0.1875
21,28800,MORTGAGE,2.0,PERSONAL,C,5500,13.23,0.19,Y,2,0.1909722222222222,0.09523809523809523
37,42000,RENT,3.0,VENTURE,A,3000,7.51,0.07,N,13,0.07142857142857142,0.08108108108108109
24,51500,RENT,6.0,DEBTCONSOLIDATION,B,20000,12.21,0.39,N,4,0.3883495145631068,0.25
58,68000,MORTGAGE,1.0,PERSONAL,B,8000,10.99,0.12,N,29,0.11764705882352941,0.017241379310344827
36,25200,MORTGAGE,0.0,EDUCATION,C,8700,12.23,0.35,Y,14,0.34523809523809523,0.0
27,81000,RENT,5.0,HOMEIMPROVEMENT,B,7500,10.25,0.09,N,7,0.09259259259259259,0.18518518518518517
43,50000,RENT,3.0,HOMEIMPROVEMENT,C,8000,12.84,0.16,Y,17,0.16,0.06976744186046512
24,135000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,10000,,0.07,N,3,0.07407407407407407,0.16666666666666666
27,33000,RENT,0.0,PERSONAL,C,8875,14.65,0.27,N,8,0.2689393939393939,0.0
34,110000,MORTGAGE,2.0,MEDICAL,A,10000,7.29,0.09,N,10,0.09090909090909091,0.058823529411764705
31,55200,RENT,5.0,MEDICAL,D,15000,15.58,0.27,Y,10,0.2717391304347826,0.16129032258064516
24,24000,MORTGAGE,4.0,EDUCATION,D,8500,15.7,0.35,N,2,0.3541666666666667,0.16666666666666666
27,130000,RENT,2.0,VENTURE,C,10000,13.47,0.08,Y,6,0.07692307692307693,0.07407407407407407
27,150000,MORTGAGE,1.0,VENTURE,B,12000,11.89,0.08,N,5,0.08,0.037037037037037035
22,75000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,24000,11.83,0.32,N,4,0.32,0.0
25,37200,RENT,6.0,VENTURE,A,7000,7.14,0.19,N,4,0.1881720430107527,0.24
39,42000,RENT,4.0,MEDICAL,C,6500,13.99,0.15,Y,14,0.15476190476190477,0.10256410256410256
28,24000,RENT,0.0,DEBTCONSOLIDATION,B,5000,11.86,0.21,N,5,0.20833333333333334,0.0
28,64000,MORTGAGE,3.0,VENTURE,C,5000,13.23,0.08,Y,7,0.078125,0.10714285714285714
27,165000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,35000,12.99,0.21,N,9,0.21212121212121213,0.2222222222222222
34,25000,RENT,0.0,VENTURE,B,5325,10.99,0.21,N,7,0.213,0.0
23,38000,RENT,0.0,DEBTCONSOLIDATION,A,7200,7.9,0.19,N,4,0.18947368421052632,0.0
24,100800,MORTGAGE,4.0,EDUCATION,B,21000,11.49,0.21,N,4,0.20833333333333334,0.16666666666666666
43,11340,RENT,4.0,EDUCATION,C,1950,,0.17,N,11,0.17195767195767195,0.09302325581395349
27,40000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,8000,14.72,0.2,N,9,0.2,0.14814814814814814
33,43200,RENT,6.0,DEBTCONSOLIDATION,A,11350,7.88,0.26,N,7,0.26273148148148145,0.18181818181818182
26,30000,RENT,1.0,DEBTCONSOLIDATION,A,10000,6.99,0.33,N,4,0.3333333333333333,0.038461538461538464
23,60000,RENT,4.0,PERSONAL,A,7500,7.66,0.13,N,2,0.125,0.17391304347826086
31,83000,MORTGAGE,9.0,VENTURE,F,18000,19.74,0.22,Y,8,0.21686746987951808,0.2903225806451613
23,70000,MORTGAGE,5.0,PERSONAL,A,3000,7.51,0.04,N,4,0.04285714285714286,0.21739130434782608
29,67992,MORTGAGE,0.0,HOMEIMPROVEMENT,A,2000,7.43,0.03,N,7,0.029415225320625956,0.0
25,51000,MORTGAGE,6.0,EDUCATION,E,16750,16.4,0.33,N,3,0.3284313725490196,0.24
24,36000,RENT,3.0,EDUCATION,A,10000,5.99,0.28,N,3,0.2777777777777778,0.125
31,55000,RENT,3.0,HOMEIMPROVEMENT,B,5000,12.18,0.09,N,8,0.09090909090909091,0.0967741935483871
26,103200,MORTGAGE,8.0,PERSONAL,A,9000,6.76,0.09,N,2,0.0872093023255814,0.3076923076923077
25,50000,MORTGAGE,2.0,PERSONAL,A,10000,7.9,0.2,N,4,0.2,0.08
28,64049,MORTGAGE,7.0,EDUCATION,B,20000,12.69,0.31,N,7,0.31226092522912147,0.25
35,50000,RENT,11.0,MEDICAL,B,16000,9.91,0.32,N,5,0.32,0.3142857142857143
25,30000,RENT,4.0,MEDICAL,A,10000,7.51,0.33,N,3,0.3333333333333333,0.16
28,32000,MORTGAGE,5.0,PERSONAL,A,8500,7.51,0.27,N,6,0.265625,0.17857142857142858
31,34000,RENT,0.0,MEDICAL,A,7500,8.94,0.22,N,8,0.22058823529411764,0.0
40,33000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,1000,,0.03,N,15,0.030303030303030304,0.05
26,85000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,8000,,0.09,N,3,0.09411764705882353,0.0
25,123000,RENT,1.0,MEDICAL,B,8000,12.53,0.07,N,3,0.06504065040650407,0.04
24,44000,RENT,4.0,DEBTCONSOLIDATION,B,10400,12.69,0.24,N,4,0.23636363636363636,0.16666666666666666
21,50500,RENT,0.0,MEDICAL,B,5000,10.37,0.1,N,3,0.09900990099009901,0.0
28,55000,RENT,7.0,DEBTCONSOLIDATION,C,7500,12.84,0.14,Y,6,0.13636363636363635,0.25
25,33316,MORTGAGE,4.0,VENTURE,A,5000,6.54,0.15,N,2,0.15007804058110216,0.16
34,44460,MORTGAGE,7.0,DEBTCONSOLIDATION,A,9600,7.49,0.22,N,8,0.21592442645074225,0.20588235294117646
33,123000,RENT,5.0,EDUCATION,B,12000,11.83,0.1,N,10,0.0975609756097561,0.15151515151515152
31,83300,MORTGAGE,9.0,MEDICAL,D,10000,,0.1,Y,5,0.12004801920768307,0.2903225806451613
38,49853,MORTGAGE,19.0,EDUCATION,D,12000,13.3,0.24,Y,11,0.24070768058090786,0.5
30,53000,RENT,4.0,DEBTCONSOLIDATION,A,12000,6.03,0.23,N,5,0.22641509433962265,0.13333333333333333
25,53004,RENT,3.0,MEDICAL,A,10000,9.32,0.19,N,4,0.18866500641461023,0.12
35,64000,MORTGAGE,11.0,MEDICAL,A,14500,7.66,0.23,N,8,0.2265625,0.3142857142857143
33,50500,MORTGAGE,2.0,MEDICAL,D,4000,,0.08,Y,8,0.07920792079207921,0.06060606060606061
23,97000,MORTGAGE,0.0,PERSONAL,E,15000,16.4,0.15,Y,3,0.15463917525773196,0.0
22,60000,RENT,1.0,VENTURE,B,7500,,0.13,N,4,0.125,0.045454545454545456
24,47000,MORTGAGE,0.0,PERSONAL,C,12000,13.49,0.26,Y,3,0.2553191489361702,0.0
24,80000,OWN,0.0,VENTURE,A,5500,8.94,0.07,N,2,0.06875,0.0
40,35000,RENT,17.0,EDUCATION,A,2400,,0.07,N,16,0.06857142857142857,0.425
37,39600,RENT,2.0,PERSONAL,C,11500,13.48,0.29,N,15,0.2904040404040404,0.05405405405405406
26,50000,OWN,5.0,MEDICAL,A,3250,7.51,0.07,N,2,0.065,0.19230769230769232
31,39996,MORTGAGE,3.0,VENTURE,B,9600,11.26,0.24,N,7,0.24002400240024002,0.0967741935483871
37,45000,RENT,1.0,EDUCATION,B,8000,10.74,0.18,N,17,0.17777777777777778,0.02702702702702703
27,100000,RENT,0.0,VENTURE,B,15000,11.58,0.15,N,10,0.15,0.0
22,96000,RENT,4.0,EDUCATION,B,3150,6.0,0.03,N,2,0.0328125,0.18181818181818182
24,51000,OWN,6.0,VENTURE,B,6000,10.75,0.12,N,2,0.11764705882352941,0.25
24,19200,RENT,0.0,EDUCATION,B,6000,10.59,0.31,N,3,0.3125,0.0
27,223000,RENT,2.0,EDUCATION,F,25000,18.3,0.11,N,9,0.11210762331838565,0.07407407407407407
27,70000,MORTGAGE,1.0,DEBTCONSOLIDATION,C,5500,13.49,0.08,Y,10,0.07857142857142857,0.037037037037037035
23,58000,RENT,4.0,EDUCATION,C,1200,15.23,0.02,N,4,0.020689655172413793,0.17391304347826086
23,50000,RENT,1.0,VENTURE,C,15000,13.61,0.3,N,3,0.3,0.043478260869565216
30,117500,MORTGAGE,0.0,EDUCATION,A,13500,8.49,0.11,N,7,0.1148936170212766,0.0
33,41916,MORTGAGE,2.0,VENTURE,B,7000,10.36,0.17,N,8,0.16700066800267202,0.06060606060606061
36,64000,RENT,0.0,EDUCATION,D,10000,15.28,0.16,Y,12,0.15625,0.0
